s3ic_id,num_dep,region,department,city,name,lat,lon,last_inspection,regime,seveso,family,active,code_postal,code_insee,code_naf
0065.00460,77,ILE DE FRANCE,SEINE ET MARNE,CHELLES,DAC,671468,6863418,2017-06-09,E,NS,Industries,En fonctionnement,77500,77108,46.77Z
0065.00462,77,ILE DE FRANCE,SEINE ET MARNE,CHELLES,SNBL,672141,6864346,2021-02-03,E,NS,Industries,En fonctionnement,77500,77108,
0065.00490,77,ILE DE FRANCE,SEINE ET MARNE,CHELLES,GENERIS Chelles,671330,6863312,2020-03-02,A,NS,Industries,En fonctionnement,77500,77108,38.21Z
0065.00498,77,ILE DE FRANCE,SEINE ET MARNE,CHELLES,REVIVAL,671175,6863567,2019-11-19,A,NS,Industries,En fonctionnement,77500,77108,38.32Z
0065.00510,77,ILE DE FRANCE,SEINE ET MARNE,SERRIS,EURO DISNEY ASSOCIES SAS,683006,6863167,2018-09-14,E,NS,Industries,En fonctionnement,77777,77449,
0065.00547,77,ILE DE FRANCE,SEINE ET MARNE,CLAYE SOUILLY,BRUNET,675674,6870515,2021-01-28,A,NS,Industries,En fonctionnement,77410,77118,49.41A
0065.00568,77,ILE DE FRANCE,SEINE ET MARNE,CLAYE SOUILLY,CARREFOUR,675387,6871953,2018-05-03,E,NS,Industries,En fonctionnement,77410,77118,
0065.00580,77,ILE DE FRANCE,SEINE ET MARNE,COLLEGIEN,CLEN DEPARTEMENT COLUMBIA,675825,6859026,2017-09-11,E,NS,Industries,En fonctionnement,77090,77121,
0065.00591,77,ILE DE FRANCE,SEINE ET MARNE,COMBS LA VILLE,IVANHOE LOGISTIQUE COMBS,666999,6839284,2015-05-21,E,NS,Industries,En fonctionnement,77380,77122,
0065.00595,77,ILE DE FRANCE,SEINE ET MARNE,LIEUSAINT,DISTRIPOLE- IXIS AEW,666618,6838863,2016-09-13,A,NS,Industries,En fonctionnement,77127,77251,
0065.00596,77,ILE DE FRANCE,SEINE ET MARNE,COMBS LA VILLE,SGA (ex COMBES RE SARL),667392,6838728,2019-10-15,E,NS,Industries,En fonctionnement,77380,77122,
0065.00599,77,ILE DE FRANCE,SEINE ET MARNE,COMBS LA VILLE,SCI COMBS (Ex EAVF LAFITTE -  ex. NMPP),667744,6839660,2020-10-09,A,NS,Industries,En fonctionnement,77380,77122,
0065.00600,77,ILE DE FRANCE,SEINE ET MARNE,COMBS LA VILLE,ZIEGLER FRANCE,667159,6839297,2017-03-30,E,NS,Industries,En fonctionnement,77380,77122,
0065.00604,77,ILE DE FRANCE,SEINE ET MARNE,COMBS LA VILLE,DHL,667449,6839111,2014-09-30,E,NS,Industries,En fonctionnement,77380,77122,11.07B
0065.00620,77,ILE DE FRANCE,SEINE ET MARNE,COMPANS,PROLOGIS LE PARC,674604,6877343,2021-01-29,A,NS,Industries,En fonctionnement,77290,77123,
0065.00627,77,ILE DE FRANCE,SEINE ET MARNE,COMPANS,PROLOGIS FRANCE CXLV(A),673977,6877430,2019-03-14,A,NS,Industries,En fonctionnement,77290,77123,
0065.00629,77,ILE DE FRANCE,SEINE ET MARNE,COMPANS,ENTREPOTS COMPANS (ex ETAM),674852,6877373,2017-06-15,E,NS,Industries,En fonctionnement,77290,77123,
0065.00632,77,ILE DE FRANCE,SEINE ET MARNE,COMPANS,ADVEO FRANCE (ex SPICERS FRANCE),674903,6877402,2014-06-11,E,NS,Industries,En fonctionnement,77290,77123,
0065.00639,77,ILE DE FRANCE,SEINE ET MARNE,COMPANS,KUEHNE NAGEL (ex ACR logistics),674849,6876608,2016-04-26,E,NS,Industries,En fonctionnement,77290,77123,
0065.00640,77,ILE DE FRANCE,SEINE ET MARNE,COMPANS,GALVACHAUD SAS ,674105,6876658,2020-10-20,A,NS,Industries,En fonctionnement,77290,77123,25.61Z
0065.00641,77,ILE DE FRANCE,SEINE ET MARNE,COMPANS,GEREP,674024,6876624,2020-07-06,A,SB,Industries,En fonctionnement,77290,77123,38.12Z
0065.00644,77,ILE DE FRANCE,SEINE ET MARNE,COMPANS,CCMP SAS,674377,6876424,2020-06-29,A,SH,Industries,En fonctionnement,77290,77123,52.10B
0065.00646,77,ILE DE FRANCE,SEINE ET MARNE,MITRY MORY,TRAPIL ,674428,6876377,2015-02-02,A,NS,Industries,En fonctionnement,77290,77294,
0065.00654,77,ILE DE FRANCE,SEINE ET MARNE,COUBERT,BOSTIK FINDLEY,677972,6840897,2018-02-16,A,NS,Industries,En fonctionnement,77170,77127,
0065.00665,77,ILE DE FRANCE,SEINE ET MARNE,COULOMMIERS,SAVERPLUS (ex. VERRE PLUS),706943,6856048,2015-11-06,A,NS,Industries,En fonctionnement,77120,77131,
0065.00674,77,ILE DE FRANCE,SEINE ET MARNE,COULOMMIERS,EURO CASSE,706797,6855666,2021-01-13,E,NS,Industries,En fonctionnement,77120,77131,38.32Z
0065.00690,77,ILE DE FRANCE,SEINE ET MARNE,COULOMMIERS,AMCOR FLEXIBLES SPS,706959,6856310,2018-12-06,A,NS,Industries,En fonctionnement,77527,77131,22.22Z
0065.00743,77,ILE DE FRANCE,SEINE ET MARNE,COURTRY,DELSI PRODUCTION,670713,6868667,,A,NS,Industries,En fonctionnement,77181,77139,
0065.00775,77,ILE DE FRANCE,SEINE ET MARNE,CROISSY BEAUBOURG,SCI PEC CROISSY BEAUBOURG,672885,6857432,2020-09-25,A,NS,Industries,En fonctionnement,77183,77146,
0065.00778,77,ILE DE FRANCE,SEINE ET MARNE,CROISSY BEAUBOURG,TAMAR GM PROPERTIES (ex AB CROISSY),672656,6857287,2014-11-05,E,NS,Industries,En fonctionnement,77183,77146,
0065.00782,77,ILE DE FRANCE,SEINE ET MARNE,CROISSY BEAUBOURG,LOGISTOCK,673354,6857263,2017-03-17,E,NS,Industries,En fonctionnement,77183,77146,52.10B
0065.00794,77,ILE DE FRANCE,SEINE ET MARNE,CROISSY BEAUBOURG,YAMAHA MUSIQUE FRANCE,673186,6857626,2018-12-10,A,NS,Industries,En fonctionnement,77183,77146,
0065.00800,77,ILE DE FRANCE,SEINE ET MARNE,CROISSY BEAUBOURG,ARGAN,673281,6858755,2020-02-05,E,NS,Industries,En fonctionnement,77183,77146,
0065.00803,77,ILE DE FRANCE,SEINE ET MARNE,CROISSY BEAUBOURG,SANOFI WINTHROP INDUSTRIE (ex AVENTIS),673683,6857785,2018-11-20,E,NS,Industries,En fonctionnement,77183,77146,46.46Z
