,id,cid,short_title,title,unique_version,installation_date_criterion_left,installation_date_criterion_right,aida_url,legifrance_url,classements_with_alineas,enriched_from_id
214,773162921425512885,JORFTEXT000000202754,Arrêté du 14 janvier 2000,"Arrêté du 14 janvier 2000 relatif aux prescriptions générales applicables aux installations classées pour la protection de l'environnement soumises à déclaration sous la rubrique n° 2662 (Stockage de polymères matières plastiques, caoutchouc, élastomères, résines et adhésifs synthétiques)",False,,2000-01-14,https://aida.ineris.fr/consultation_document/5519,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000202754,"[{""rubrique"": ""2662"", ""regime"": ""D"", ""alineas"": []}]",396604532510767377
215,324714349175732081,JORFTEXT000000202754,Arrêté du 14 janvier 2000,"Arrêté du 14 janvier 2000 relatif aux prescriptions générales applicables aux installations classées pour la protection de l'environnement soumises à déclaration sous la rubrique n° 2662 (Stockage de polymères matières plastiques, caoutchouc, élastomères, résines et adhésifs synthétiques)",False,2000-01-14,,https://aida.ineris.fr/consultation_document/5519,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000202754,"[{""rubrique"": ""2662"", ""regime"": ""D"", ""alineas"": []}]",396604532510767377
216,924631850294398774,JORFTEXT000000202754,Arrêté du 14 janvier 2000,"Arrêté du 14 janvier 2000 relatif aux prescriptions générales applicables aux installations classées pour la protection de l'environnement soumises à déclaration sous la rubrique n° 2662 (Stockage de polymères matières plastiques, caoutchouc, élastomères, résines et adhésifs synthétiques)",False,,,https://aida.ineris.fr/consultation_document/5519,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000202754,"[{""rubrique"": ""2662"", ""regime"": ""D"", ""alineas"": []}]",396604532510767377
217,800858303543300582,JORFTEXT000000202785,Arrêté du 14 janvier 2000,"Arrêté du 14 janvier 2000 relatif aux prescriptions générales applicables aux installations classées pour la protection de l'environnement soumises à déclaration sous la rubrique n° 2660 ou 2661 (Fabrication, régénération ou transformation de polymères [matières plastiques, caoutchouc, élastomères, résines et adhésifs synthétiques])",True,,,https://aida.ineris.fr/consultation_document/5521,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000202785,"[{""rubrique"": ""2660"", ""regime"": ""D"", ""alineas"": []}, {""rubrique"": ""2661"", ""regime"": ""D"", ""alineas"": []}]",789952661335886808
218,658075695306922242,JORFTEXT000000210657,Arrêté du 15 mars 1999,"Arrêté du 15/03/99 relatif aux prescriptions générales applicables aux installations classées pour la protection de l'environnement soumises à déclaration sous la rubrique n° 2251 (Préparation, conditionnement de vin, la capacité de production étant supérieure à 500 hl/an mais inférieure ou égale à 20 000 hl/an).",True,,,https://aida.ineris.fr/consultation_document/5571,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000210657,"[{""rubrique"": ""2251"", ""regime"": ""D"", ""alineas"": []}]",877646483245714457
219,572455187175670482,JORFTEXT000000234557,Arrêté du 20 septembre 2002,Arrêté du 20 septembre 2002 relatif aux installations d'incinération et de co-incinération de déchets non dangereux et aux installations incinérant des déchets d'activités de soins à risques infectieux ,False,,2011-11-01,https://aida.ineris.fr/consultation_document/5275,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000234557,"[{""rubrique"": ""2771"", ""regime"": ""A"", ""alineas"": []}]",451008291293267765
220,180931293752001601,JORFTEXT000000234557,Arrêté du 20 septembre 2002,Arrêté du 20 septembre 2002 relatif aux installations d'incinération et de co-incinération de déchets non dangereux et aux installations incinérant des déchets d'activités de soins à risques infectieux ,False,2011-11-01,,https://aida.ineris.fr/consultation_document/5275,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000234557,"[{""rubrique"": ""2771"", ""regime"": ""A"", ""alineas"": []}]",451008291293267765
221,978467907964793710,JORFTEXT000000234557,Arrêté du 20 septembre 2002,Arrêté du 20 septembre 2002 relatif aux installations d'incinération et de co-incinération de déchets non dangereux et aux installations incinérant des déchets d'activités de soins à risques infectieux ,False,,,https://aida.ineris.fr/consultation_document/5275,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000234557,"[{""rubrique"": ""2771"", ""regime"": ""A"", ""alineas"": []}]",451008291293267765
222,12583576880874960,JORFTEXT000000277959,Arrêté du 9 août 2007,Arrêté du 9 août 2007 relatif aux prescriptions générales applicables aux installations classées soumises à déclaration sous la rubrique n° 2221.,True,,,https://aida.ineris.fr/consultation_document/4727,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000277959,"[{""rubrique"": ""2221"", ""regime"": ""D"", ""alineas"": []}]",745446851027032459
223,710677586414613680,JORFTEXT000000346445,Arrêté du 3 mai 1993,Arrêté du 3 mai 1993 relatif aux cimenteries,True,,,https://aida.ineris.fr/consultation_document/5859,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000346445,"[{""rubrique"": ""2520"", ""regime"": ""A"", ""alineas"": []}]",3806400678587342
