,Unnamed: 0,s3ic_id,num_dep,region,department,city,name,lat,lon,last_inspection,regime,seveso,family,active,code_postal,code_insee,code_naf
416,675,0031.03294,33,NOUVELLE-AQUITAINE,GIRONDE,ST MICHEL DE RIEUFRET,CMGO CARRIERES ET MATERIAUX GRAND OUEST,427132,6401116,2020-10-02,A,NS,Carrières,En fonctionnement,33720,33452,
439,709,0031.03627,33,NOUVELLE-AQUITAINE,GIRONDE,ILLATS,GSM GRANULATS,431347,6398827,2018-12-10,E,NS,Industries,En fonctionnement,33720,33205,
450,722,0031.03726,64,NOUVELLE-AQUITAINE,PYRENEES ATLANTIQUES,ARRIEN,LAHON Alain,443390,6251753,2016-10-17,E,NS,Porcs,En fonctionnement,64420,64053,01.46Z
478,764,0031.04284,19,NOUVELLE-AQUITAINE,CORREZE,BEYNAT,MELAINE GAEC,600459,6448589,2018-10-17,E,NS,Porcs,En fonctionnement,19190,19023,01.42Z
504,794,0031.04789,17,NOUVELLE-AQUITAINE,CHARENTE MARITIME,VERGNE,Site illégal commune de Vergné Loulay,428566,6558089,,E,NS,Industries,En fonctionnement,17330,17464,
529,829,0031.05229,33,NOUVELLE-AQUITAINE,GIRONDE,PAREMPUYRE,Mairie Parempuyre,416349,6435173,2019-10-15,A,NS,Industries,En fonctionnement,33290,33312,
550,857,0031.05616,87,NOUVELLE-AQUITAINE,HAUTE VIENNE,VERNEUIL SUR VIENNE,CENTRE ATLANTIQUE POIDS LOURDS (CEAPL),554641,6529736,,E,NS,Industries,En fonctionnement,87430,87201,
561,871,0031.06011,16,NOUVELLE-AQUITAINE,CHARENTE,ST MEME LES CARRIERES,DISTILLERIE DE LA TOUR,439714,6513019,2020-09-08,A,NS,Industries,En fonctionnement,16720,16340,
568,880,0031.06282,33,NOUVELLE-AQUITAINE,GIRONDE,PAUILLAC,DILMEX (parcelles AR 22 et 46),404601,6462414,2020-11-26,A,NS,Industries,En fonctionnement,33250,33314,
571,885,0031.06417,47,NOUVELLE-AQUITAINE,LOT ET GARONNE,LAYRAC,GAÏA,512740,6338853,,A,NS,Carrières,En fonctionnement,47390,47145,
585,904,0032.00098,42,AUVERGNE - RHONE-ALPES,LOIRE,MONTROND LES BAINS,Com. Communes de FOREZ-EST,795168,6506411,2019-11-21,E,NS,Industries,En fonctionnement,42210,42149,
592,911,0032.00106,63,AUVERGNE - RHONE-ALPES,PUY DE DOME,ST GENES CHAMPANELLE,Clermont Communauté,701542,6511555,,E,NS,Industries,En fonctionnement,63122,63345,
595,914,0032.00124,38,AUVERGNE - RHONE-ALPES,ISERE,ST ROMAIN DE JALIONAS,DECHETTERIE INTERCOMMUNALE,871850,6520608,,E,NS,Industries,En fonctionnement,38460,38451,
596,915,0032.00151,69,AUVERGNE - RHONE-ALPES,RHONE,BELLEVILLE-EN-BEAUJOLAIS,Logistique alaine,833351,6559171,2018-10-22,E,NS,Industries,En fonctionnement,69220,69019,52.10B
598,918,0032.00205,42,AUVERGNE - RHONE-ALPES,LOIRE,ST ETIENNE,TOTAL MARKETING FRANCE,807790,6483084,,E,NS,Industries,En fonctionnement,42000,42218,
614,939,0032.00539,38,AUVERGNE - RHONE-ALPES,ISERE,ARANDON-PASSINS,PERRIN SA,887325,6514840,2017-11-22,A,NS,Carrières,En fonctionnement,38510,38297,23.61Z
626,954,0032.00728,26,AUVERGNE - RHONE-ALPES,DROME,LORIOL SUR DROME,CNR,840722,6409505,,E,NS,Industries,En fonctionnement,26270,26166,
637,967,0032.00971,26,AUVERGNE - RHONE-ALPES,DROME,LORIOL SUR DROME,GRANULATS VICAT - IT- Loriol,840796,6409493,2019-11-12,E,NS,Industries,En fonctionnement,26270,26166,
643,973,0032.01033,26,AUVERGNE - RHONE-ALPES,DROME,VINSOBRES,AUTRAND AMANDINE,861371,6363402,2019-04-18,E,NS,Volailles,En fonctionnement,26110,26377,
653,989,0032.01141,01,AUVERGNE - RHONE-ALPES,AIN,ST JUST,U Logistique,876618,6568141,2020-09-16,E,NS,Industries,En fonctionnement,01250,01369,
677,1022,0032.01367,73,AUVERGNE - RHONE-ALPES,SAVOIE,AIME LA PLAGNE,CONSTRUCTION SAVOYARDE ISDI illicite,986374,6502427,2017-02-21,E,NS,Industries,En fonctionnement,73210,73006,
685,1030,0032.01420,63,AUVERGNE - RHONE-ALPES,PUY DE DOME,ARLANC,VEYRIERE BOIS ENERGIE,757450,6479653,2020-11-06,E,NS,Industries,En fonctionnement,63220,63010,16.10A
695,1043,0032.01556,03,AUVERGNE - RHONE-ALPES,ALLIER,AVERMES,SICTOM Nord Allier,723555,6611352,2020-10-08,E,NS,Industries,En fonctionnement,03000,03013,
705,1056,0032.01709,26,AUVERGNE - RHONE-ALPES,DROME,ALBON,BERT STOCKAGE ET SERVICES,842785,6465868,,A,NS,Industries,En fonctionnement,26140,26002,52.10B
713,1064,0032.01844,38,AUVERGNE - RHONE-ALPES,ISERE,EYBENS,Société SEMITAG,915415,6454854,2017-10-04,E,NS,Industries,En fonctionnement,38320,38158,
724,1076,0032.01916,03,AUVERGNE - RHONE-ALPES,ALLIER,CHEZY,Sictom Nord Allier,731307,6608743,2018-02-05,A,NS,Industries,En fonctionnement,03230,03076,
